Date;Energy Exchange External Grid [kWh];Total Demand [kWh];RES Generation [kWh];Self Consumption total [kWh];Self Consumption RES [kWh];Energy Exchange LEC [kWh];Energy Consumption inflexible Loads [kWh];Energy Consumption Heatpumps [kWh];Energy Consumption EVs [kWh];Energy Brought Storages [kWh];Energy Sold Storages [kWh];Price Spotmarket [Euro/kWh];Profit external grid [Euro];Revenue RES LEC [Euro];Revenue RES External [Euro];Payment to LEC by inflexible Loads [Euro];Payment to Retailer by inflexible Loads [Euro];Payment to LEC by Heatpumps [Euro];Payment to Retailer by Heatpumps [Euro];Payment to LEC by EVs [Euro];Payment to Retailer by EVs [Euro];Payment to Retailer by Storages [Euro];Payment from Retailer to Storages [Euro];Payment to LEC by Storages [Euro];Payment from LEC to Storages [Euro];Total Fees and Levies External [Euro];Total Fees and Levies LEC [Euro];Fees and Levies External inflexible Loads [Euro];Fees and Levies LEC inflexible Loads [Euro];Fees and Levies External Heatpump [Euro];Fees and Levies LEC Heatpump [Euro];Fees and Levies External EV [Euro];Fees and Levies LEC EV [Euro];Fees and Levies External Storage internal [Euro];Fees and Levies LEC Storage internal [Euro];Max. Line Loading [%];Max. Voltage Deviation [p.u.];Transformer Usage [kVA]
01.03.2021 00:00;0.3046;7.2637;0.0;0.7149;0.0;6.2443;4.3979;2.2462;0.6196;0.0;6.9592;0.0425;0.0030459999999999997;0.0;0.0;0.18409999999999999;0.0089;0.1124;0.0054;0.031;0.0015;0.0;0.0;0.0;0.3278;0.04730000000000001;0.4899;0.026600000000000002;0.2755;0.0162;0.16799999999999998;0.0045;0.0464;0.0;0.0;13.281949100797757;2.499999999999991;3.7371156757336212
01.03.2021 00:15;2.7576;7.3443000000000005;0.0;0.8164;0.0;3.7703;4.5579;2.1668;0.6196;0.0;4.5868;0.0425;0.027576;0.0;0.0;0.11359999999999999;0.083;0.06570000000000001;0.048100000000000004;0.0188;0.0137;0.0;0.0;0.0;0.1979;0.43279999999999996;0.2959;0.24820000000000003;0.1696;0.14350000000000002;0.0982;0.0411;0.0281;0.0;0.0;8.05742165799106;2.499999999999991;12.038450778534243
01.03.2021 00:30;5.9088;7.8746;0.0;0.6562;0.0;1.3097;4.3064;2.9486;0.6196;0.0;1.9659;0.0425;0.059088;0.0;0.0;0.0347;0.1569;0.0281;0.1268;0.0059;0.0266;0.0;0.0;0.0;0.0688;0.9276;0.1027;0.46909999999999996;0.051800000000000006;0.37889999999999996;0.0421;0.0796;0.0088;0.0;0.0;6.165655144456532;2.499999999999991;24.38397236252791
01.03.2021 00:45;27.5191;27.519;0.0;0.0;0.0;0.0;4.5875;2.9961;0.6196;19.3158;0.0;0.0425;0.275191;0.0;0.0;0.0;0.24089999999999998;0.0;0.1572;0.0;0.0325;1.0141;0.0;0.0;0.0;4.3206;0.0;0.7202;0.0;0.47050000000000003;0.0;0.0973;0.0;3.0326;0.0;49.971002517823074;3.991123228851179;114.43208547055069
01.03.2021 01:00;1.1598;7.6465;0.0;0.6249;0.0;5.8621;4.1638;2.8557;0.627;0.0;6.487;0.04096;0.011597999999999999;0.0;0.0;0.1505;0.0297;0.12159999999999999;0.023899999999999998;0.0267;0.0053;0.0;0.0;0.0;0.2987;0.18230000000000002;0.4603;0.09179999999999999;0.2319;0.0742;0.1873;0.0163;0.0411;0.0;0.0;12.482527546874245;2.499999999999991;6.059671796968993
01.03.2021 01:15;0.3007;7.275199999999999;0.0;0.8046;0.0;6.17;4.3649;2.2832999999999997;0.627;0.0;6.9746;0.04096;0.003007;0.0;0.0;0.1729;0.0085;0.1111;0.0054;0.0305;0.0015;0.0;0.0;0.0;0.3144;0.0471;0.4841;0.0259;0.2664;0.016600000000000004;0.1708;0.0046;0.0469;0.0;0.0;13.125764643294207;2.499999999999991;3.7314238481077497
01.03.2021 01:30;2.5807;6.4821;0.0;0.8026;0.0;3.0989;3.6862000000000004;2.1774;0.6185;0.0;3.9015;0.04096;0.025807000000000004;0.0;0.0;0.0801;0.06659999999999999;0.0606;0.0506;0.0172;0.0143;0.0;0.0;0.0;0.1579;0.40479999999999994;0.2433;0.2056;0.1236;0.15510000000000002;0.0932;0.0441;0.0265;0.0;0.0;6.624823493398761;2.499999999999991;11.125654137010656
01.03.2021 01:45;6.667;6.9164;0.0;0.2494;0.0;0.0;4.1232;2.1747;0.6185;0.0;0.2494;0.04096;0.06667;0.0;0.0;0.0;0.1972;0.0;0.1109;0.0;0.0315;0.0;0.0;0.0;0.0;1.0468;0.0;0.6084;0.0;0.3413;0.0;0.0971;0.0;0.0;0.0;5.702626624350801;2.499999999999991;27.4029714976344
01.03.2021 02:00;26.9269;26.9266;0.0;0.0;0.0;0.0;3.8698999999999995;3.1226000000000003;0.6183;19.3158;0.0;0.040999999999999995;0.269269;0.0;0.0;0.0;0.19750000000000004;0.0;0.1594;0.0;0.0315;0.9851;0.0;0.0;0.0;4.227600000000001;0.0;0.6076;0.0;0.49029999999999996;0.0;0.0971;0.0;3.0326;0.0;49.86299507507717;3.9635163769706216;111.99281915685027
01.03.2021 02:15;0.1209;6.743499999999999;0.0;0.7421;0.0;5.8805;3.9411000000000005;2.1841;0.6183;0.0;6.6225;0.040999999999999995;0.001209;0.0;0.0;0.1598;0.0031999999999999997;0.10919999999999999;0.0021999999999999997;0.0309;0.0006;0.0;0.0;0.0;0.2999;0.018999999999999996;0.46180000000000004;0.0101;0.24610000000000004;0.0069;0.1681;0.002;0.0476;0.0;0.0;12.51096720694761;2.499999999999991;3.140741331731945
