Date;Agent ID;Agent Type;SOC [rel];T ind. [C°];Energy Exchange Self-Supply [kWh];Energy Exchange LEC [kWh];Energy Exchange Retailer [kWh];Revenue Energy LEC [€];Revenue Energy Retailer [€];Fees and Levies LEC [€];Fees and Levies Retailer [€]
01.03.2021 00:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.03.2021 00:00;28;BESS;0.19695794158004618;None;-0.7149;-6.2443;-0.0;-0.3278;-0.0;0.0;-0.0
01.03.2021 00:00;13;inflexible;None;None;0.7149;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.03.2021 00:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.03.2021 00:15;28;BESS;0.1470202101188032;None;-0.8164;-3.7703;-0.0;-0.1979;-0.0;0.0;-0.0
01.03.2021 00:15;13;inflexible;None;None;0.8164;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.03.2021 00:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.03.2021 00:30;28;BESS;0.11410608074471526;None;-0.6562;-1.3097;-0.0;-0.0688;-0.0;0.0;-0.0
01.03.2021 00:30;13;inflexible;None;None;0.6562;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.03.2021 00:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.03.2021 00:45;28;BESS;0.09999841035721733;None;0.0;-0.0;19.3158;-0.0;1.0141;-0.0;3.0326
01.03.2021 00:45;13;inflexible;None;None;0.0;-0.0;0.7655;-0.0;0.0402;-0.0;0.1202
01.03.2021 01:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.03.2021 01:00;28;BESS;0.22508233141391937;None;-0.6249;-5.8621;-0.0;-0.2987;-0.0;0.0;-0.0
01.03.2021 01:00;13;inflexible;None;None;0.6249;0.0;-0.0;0.0;-0.0;0.0;-0.0
