Date;Energy Exchange External Grid [kWh];Total Demand [kWh];RES Generation [kWh];Self Consumption total [kWh];Self Consumption RES [kWh];Energy Exchange LEC [kWh];Energy Consumption inflexible Loads [kWh];Energy Consumption Heatpumps [kWh];Energy Consumption EVs [kWh];Energy Brought Storages [kWh];Energy Sold Storages [kWh];Price Spotmarket [Euro/kWh];Profit external grid [Euro];Revenue RES LEC [Euro];Revenue RES External [Euro];Payment to LEC by inflexible Loads [Euro];Payment to Retailer by inflexible Loads [Euro];Payment to LEC by Heatpumps [Euro];Payment to Retailer by Heatpumps [Euro];Payment to LEC by EVs [Euro];Payment to Retailer by EVs [Euro];Payment to Retailer by Storages [Euro];Payment from Retailer to Storages [Euro];Payment to LEC by Storages [Euro];Payment from LEC to Storages [Euro];Total Fees and Levies External [Euro];Total Fees and Levies LEC [Euro];Fees and Levies External inflexible Loads [Euro];Fees and Levies LEC inflexible Loads [Euro];Fees and Levies External Heatpump [Euro];Fees and Levies LEC Heatpump [Euro];Fees and Levies External EV [Euro];Fees and Levies LEC EV [Euro];Fees and Levies External Storage internal [Euro];Fees and Levies LEC Storage internal [Euro];Max. Line Loading [%];Max. Voltage Deviation [p.u.];Transformer Usage [kVA]
01.02.2021 00:00;7.8451;10.9771;0.0;1.9624;0.0;1.1696;5.0863;2.5517;3.3390999999999997;0.0;3.132;0.04118;0.078451;0.0;0.0;0.022299999999999997;0.14890000000000003;0.015600000000000001;0.1041;0.022199999999999998;0.1487;0.0;0.0;0.0;0.0599;1.2315999999999998;0.09179999999999998;0.4563;0.0339;0.319;0.0238;0.45630000000000004;0.0341;0.0;0.0;7.162280568171801;2.499999999999991;32.00640318176118
01.02.2021 00:15;7.9419;10.601300000000002;0.0;1.6114;0.0;1.0479;4.1209999999999996;3.207;3.2733;0.0;2.6593;0.04118;0.079419;0.0;0.0;0.0163;0.1233;0.0178;0.1352;0.0196;0.148;0.0;0.0;0.0;0.0536;1.2468;0.0819;0.3781;0.0248;0.4148;0.027200000000000002;0.4539;0.0299;0.0;0.0;6.559356159450778;2.499999999999991;32.34569264507272
01.02.2021 00:30;6.5054;8.6602;0.0;1.7449;0.0;0.4099;4.4697000000000005;2.1862;2.0042999999999997;0.0;2.1548;0.04118;0.065054;0.0;0.0;0.008799999999999999;0.1417;0.0058000000000000005;0.0949;0.0062;0.09649999999999999;0.0;0.0;0.0;0.021;1.0214;0.0321;0.4343;0.013600000000000001;0.2911;0.0092;0.296;0.009300000000000001;0.0;0.0;5.127747990839833;2.499999999999991;26.616710242979845
01.02.2021 00:45;27.881;28.797499999999996;0.0;0.9163;0.0;0.0;3.8633;3.6744000000000003;1.9439999999999997;19.3158;0.9163;0.04118;0.27881;0.0;0.0;0.0;0.16190000000000002;0.0;0.1771;0.0;0.09949999999999999;0.9886;0.0;0.0;0.0;4.3775;0.0;0.49639999999999995;0.0;0.5430999999999999;0.0;0.3054;0.0;3.0326;0.0;49.49848797809942;4.00022657759358;115.88768914911118
01.02.2021 01:00;0.0;8.5725;0.0;0.6405;0.0;7.9319;3.7867999999999995;2.8546;1.3719999999999999;0.5591;8.5724;4e-05;0.0;0.0;0.0;0.022199999999999998;0.0;0.020200000000000003;0.0;0.0097;0.0;0.0;0.0;0.0039;0.0558;0.0;0.6226999999999999;0.0;0.2471;0.0;0.2241;0.0;0.1076;0.0;0.0439;16.848137644054162;2.499999999999991;2.3662024358121747
01.02.2021 01:15;0.7745;8.2555;0.0;0.7811;0.0;6.7001;3.8958;3.0624000000000002;1.2973;0.0;7.4812;4e-05;0.007744999999999999;0.0;0.0;0.0281;0.0031;0.0276;0.0034;0.0116;0.0014;0.0;0.0;0.0;0.0673;0.12159999999999999;0.5261999999999999;0.0506;0.2192;0.05;0.21559999999999999;0.021;0.09140000000000001;0.0;0.0;14.257329389704552;2.499999999999991;4.414097916893287
01.02.2021 01:30;6.1675;7.5454;0.0;0.6483;0.0;0.7295;3.4082;2.8421000000000003;1.2951;0.0;1.3778;4e-05;0.06167500000000001;0.0;0.0;0.0029;0.0249;0.0031999999999999997;0.0255;0.0014;0.0116;0.0;0.0;0.0;0.0073;0.9683;0.0571;0.3874;0.022799999999999997;0.3991;0.0235;0.1818;0.0108;0.0;0.0;5.519477392135162;2.499999999999991;25.28791369360355
01.02.2021 01:45;26.7031;26.702899999999996;0.0;0.0;0.0;0.0;3.4502999999999995;2.6418;1.295;19.3158;0.0;4e-05;0.267031;0.0;0.0;0.0;0.03459999999999999;0.0;0.0265;0.0;0.013;0.1939;0.0;0.0;0.0;4.1923;0.0;0.5416;0.0;0.4147;0.0;0.2034;0.0;3.0326;0.0;50.20155238654984;3.963969825733382;111.0913212877867
01.02.2021 02:00;0.0;15.461200000000002;0.0;0.6524;0.0;14.8089;3.4119;2.4011;1.295;8.3532;15.4613;4e-05;0.0;0.0;0.0;0.0194;0.0;0.0169;0.0;0.0092;0.0;0.0;0.0;0.0588;0.1043;0.0;1.1624999999999999;0.0;0.21670000000000003;0.0;0.1885;0.0;0.1016;0.0;0.6557;31.23932563762097;2.499999999999991;2.5384694472395806
01.02.2021 02:15;24.8101;26.780400000000004;0.0;0.7383;0.0;1.2321;3.5622;2.6489000000000003;1.2534999999999998;19.3158;1.9704;4e-05;0.248101;0.0;0.0;0.0015000000000000002;0.026999999999999996;0.0012000000000000001;0.0253;0.0006;0.012;0.1848;0.0;0.0092;0.0124;3.8952000000000004;0.09670000000000001;0.4224;0.010499999999999997;0.3963;0.0098;0.1874;0.004699999999999999;2.8891;0.0717;45.471294116317964;2.499999999999991;101.23156959624767
