Date;Agent ID;Agent Type;SOC [rel];T ind. [C°];Energy Exchange Self-Supply [kWh];Energy Exchange LEC [kWh];Energy Exchange Retailer [kWh];Revenue Energy LEC [€];Revenue Energy Retailer [€];Fees and Levies LEC [€];Fees and Levies Retailer [€]
01.01.2021 00:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:00;28;BESS;0.25;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:00;13;inflexible;None;None;0.0;-0.0;1.4295;-0.0;0.087;-0.0;0.2244
01.01.2021 00:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:15;28;BESS;0.24999661240385534;None;-0.5885;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01.01.2021 00:15;13;inflexible;None;None;0.5885;-0.0;0.8253;-0.0;0.0502;-0.0;0.1296
01.01.2021 00:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:30;28;BESS;0.24577050035320133;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:30;13;inflexible;None;None;0.0;-0.0;1.8591;-0.0;0.1132;-0.0;0.2919
01.01.2021 00:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 00:45;28;BESS;0.24576717006840346;None;-0.7071;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01.01.2021 00:45;13;inflexible;None;None;0.7071;-0.0;0.9567;-0.0;0.0582;-0.0;0.1502
01.01.2021 01:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:00;28;BESS;0.2406901125657896;None;-1.269;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01.01.2021 01:00;13;inflexible;None;None;1.269;-0.0;0.5589;-0.0;0.0325;-0.0;0.0877
01.01.2021 01:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:15;28;BESS;0.23158126507118296;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:15;13;inflexible;None;None;0.0;-0.0;1.4217;-0.0;0.0827;-0.0;0.2232
01.01.2021 01:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:30;28;BESS;0.23157812705598005;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:30;13;inflexible;None;None;0.0;-0.0;1.3982;-0.0;0.0814;-0.0;0.2195
01.01.2021 01:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:45;28;BESS;0.23157498908329843;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 01:45;13;inflexible;None;None;0.0;-0.0;1.5898;-0.0;0.0925;-0.0;0.2496
01.01.2021 02:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:00;28;BESS;0.23157185115313755;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:00;13;inflexible;None;None;0.0;-0.0;1.5935;-0.0;0.0871;-0.0;0.2502
01.01.2021 02:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:15;28;BESS;0.23156871326549686;None;-0.1721;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01.01.2021 02:15;13;inflexible;None;None;0.1721;-0.0;1.3396;-0.0;0.0732;-0.0;0.2103
01.01.2021 02:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:30;28;BESS;0.23033068861235362;None;-0.2658;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01.01.2021 02:30;13;inflexible;None;None;0.2658;-0.0;1.3083;-0.0;0.0715;-0.0;0.2054
01.01.2021 02:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:45;28;BESS;0.2284203455001055;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 02:45;13;inflexible;None;None;0.0;-0.0;1.5195;-0.0;0.0831;-0.0;0.2386
01.01.2021 03:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:00;28;BESS;0.2284172503165784;None;-1.4648;-0.9137;-0.0;-0.0484;-0.0;0.0;-0.0
01.01.2021 03:00;13;inflexible;None;None;1.4648;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.01.2021 03:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:15;28;BESS;0.21134745980671468;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:15;13;inflexible;None;None;0.0;-0.0;1.168;-0.0;0.0618;-0.0;0.1834
01.01.2021 03:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:30;28;BESS;0.21134459596735458;None;-1.0155;-0.5282;-0.0;-0.028;-0.0;0.0;-0.0
01.01.2021 03:30;13;inflexible;None;None;1.0155;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.01.2021 03:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:45;28;BESS;0.200265062988743;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 03:45;13;inflexible;None;None;0.0;-0.0;0.9414;-0.0;0.0498;-0.0;0.1478
01.01.2021 04:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:00;28;BESS;0.20026234932012185;None;-0.7811;-0.4561;-0.0;-0.023;-0.0;0.0;-0.0
01.01.2021 04:00;13;inflexible;None;None;0.7811;0.0;-0.0;0.0;-0.0;0.0;-0.0
01.01.2021 04:15;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:15;28;BESS;0.19138150990346228;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:15;13;inflexible;None;None;0.0;-0.0;0.8749;-0.0;0.0441;-0.0;0.1374
01.01.2021 04:30;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:30;28;BESS;0.19137891661040185;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:30;13;inflexible;None;None;0.0;-0.0;0.7383;-0.0;0.0372;-0.0;0.1159
01.01.2021 04:45;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:45;28;BESS;0.19137632335248153;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2021 04:45;13;inflexible;None;None;0.0;-0.0;0.7968;-0.0;0.0401;-0.0;0.1251
01.01.2021 05:00;21;inflexible;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0
